iter	Passed	Remaining
0	3	3835
1	6	3419
2	9	3299
3	12	3232
4	16	3188
5	19	3168
6	22	3142
7	25	3171
8	29	3219
9	32	3223
10	35	3235
11	39	3251
12	42	3254
13	46	3244
14	49	3225
15	52	3215
16	55	3208
17	58	3203
18	61	3190
19	64	3172
20	67	3152
21	71	3160
22	74	3150
23	77	3139
24	80	3125
25	82	3107
26	86	3116
27	89	3113
28	92	3104
29	95	3095
30	98	3079
31	101	3076
32	104	3074
33	107	3068
34	111	3063
35	113	3052
36	117	3049
37	120	3050
38	123	3042
39	126	3035
40	129	3026
41	132	3016
42	135	3021
43	138	3019
44	142	3014
45	144	3005
46	147	2997
47	151	2999
48	154	2995
49	157	2989
50	160	2985
51	163	2974
52	166	2974
53	169	2972
54	172	2967
55	175	2964
56	178	2954
57	181	2951
58	185	2952
59	188	2949
60	191	2944
61	194	2937
62	197	2930
63	200	2929
64	203	2926
65	206	2923
66	209	2918
67	212	2911
68	215	2912
69	218	2909
70	222	2905
71	225	2900
72	227	2893
73	231	2895
74	234	2894
75	237	2891
76	240	2887
77	243	2880
78	246	2878
79	250	2877
80	253	2873
81	256	2869
82	259	2864
83	262	2858
84	265	2857
85	268	2853
86	271	2850
87	274	2847
88	278	2846
89	281	2847
90	284	2844
91	287	2841
92	290	2838
93	293	2832
94	297	2830
95	300	2827
96	303	2823
97	306	2819
98	309	2813
99	312	2812
100	315	2809
101	318	2806
102	321	2802
103	324	2796
104	327	2793
105	330	2791
106	334	2787
107	337	2788
108	340	2786
109	344	2786
110	348	2788
111	351	2789
112	355	2787
113	358	2783
114	361	2782
115	364	2780
116	367	2776
117	370	2772
118	373	2767
119	377	2765
120	380	2762
121	383	2758
122	386	2754
123	389	2749
124	392	2745
125	395	2744
126	398	2741
127	401	2737
128	404	2732
129	407	2726
130	410	2725
131	413	2722
132	417	2718
133	420	2715
134	422	2709
135	426	2708
136	429	2705
137	432	2702
138	435	2698
139	438	2693
140	442	2695
141	445	2692
142	448	2689
143	451	2685
144	454	2680
145	458	2679
146	461	2676
147	464	2673
148	467	2669
149	470	2665
150	473	2663
151	476	2660
152	479	2656
153	482	2652
154	485	2648
155	488	2644
156	492	2644
157	495	2640
158	498	2636
159	501	2632
160	504	2627
161	507	2627
162	510	2623
163	513	2619
164	516	2615
165	519	2610
166	522	2608
167	525	2604
168	528	2601
169	531	2597
170	534	2592
171	537	2589
172	540	2585
173	543	2581
174	546	2577
175	549	2573
176	552	2569
177	555	2564
178	558	2559
179	560	2554
180	563	2550
181	566	2546
182	569	2542
183	572	2538
184	575	2534
185	578	2530
186	580	2525
187	583	2520
188	586	2516
189	589	2511
190	591	2507
191	594	2502
192	597	2497
193	600	2493
194	602	2488
195	605	2483
196	608	2479
197	611	2475
198	613	2470
199	616	2466
200	619	2461
201	621	2457
202	624	2452
203	627	2449
204	630	2445
205	633	2440
206	636	2437
207	639	2435
208	642	2431
209	645	2428
210	648	2424
211	651	2420
212	654	2416
213	657	2414
214	660	2410
215	663	2406
216	665	2402
217	668	2397
218	671	2393
219	673	2389
220	676	2385
221	679	2380
222	681	2376
223	684	2372
224	687	2368
225	690	2364
226	693	2359
227	695	2355
